person_id,first_name,last_name,phone_number,average_delivery_time,number_of_deliveries
201,Israel,Ellicombe,892 484 3813,26,90
202,Caren,Plume,826 819 4582,7,440
203,Peadar,Abramin,409 956 1502,11,166
204,Nil,Bourchier,784 553 9242,24,72
205,Carole,Hardi,495 278 6288,29,148
206,Melisa,Gladtbach,680 299 4348,9,400
207,Prudence,Hanbury,726 997 0994,6,90
208,Garv,Kerss,415 270 0811,16,238
209,Jeanna,Iacovolo,382 429 8428,30,207
210,Bobine,Taunton.,723 423 7109,27,217
211,Zorine,Gowans,102 322 8700,15,87
212,Zorine,McCallum,717 244 8063,26,321
213,Ethe,McCay,149 942 6309,12,184
214,Bobbi,Verralls,617 106 7032,14,381
215,Truman,Androsik,875 186 7002,11,192
216,Josey,Siddaley,260 819 3051,12,423
217,Bastien,Endecott,260 583 2188,6,436
218,Malena,Kobisch,395 543 1257,9,471
219,Currey,Gatiss,648 630 8936,24,233
220,Magdaia,Guillon,601 898 2467,6,304
221,Cariotta,Drust,367 823 2174,6,390
222,Hewitt,Diperaus,183 581 0761,27,478
223,Milt,Tine,119 643 1761,15,42
224,Barbey,Wallhead,489 618 5315,25,483
225,Maureen,Emsley,499 628 9954,18,212
226,Ami,Enric,487 549 5848,20,425
227,Charmaine,Reyner,895 267 3745,13,403
228,Elissa,Zavittieri,759 888 5197,5,155
229,Siobhan,Reggiani,602 344 5283,27,467
230,Tessy,Tumayan,706 176 9901,30,144
231,Natalie,Gurden,832 392 5131,10,426
232,Elmira,Rhule,249 575 8729,11,104
233,Garfield,Rapi,665 101 5256,6,198
234,Cacilia,Thinn,565 787 4691,12,469
235,Leland,Litchfield,675 211 2527,11,196
236,Murvyn,Currm,590 951 7146,13,200
237,Brittani,Rosedale,602 296 9579,18,430
238,Magdalene,Moreton,646 588 3745,19,478
239,Kennie,Sapwell,273 401 1722,11,476
240,Virginia,Talboy,874 875 8793,16,223
241,Billie,Eriksson,100 987 8913,12,333
242,Janina,Oven,294 909 0658,27,171
243,Bianca,Baumaier,292 653 5378,17,469
244,Lew,Chevis,648 677 3596,12,441
245,Corrina,Raggatt,127 210 6904,23,141
246,Kary,Carnilian,241 801 4833,5,189
247,Catlin,Casotti,343 559 6441,6,95
248,Florenza,MacMenemy,886 396 1128,27,56
249,Gilligan,Clitheroe,217 458 0003,17,337
250,Misha,Pyrton,751 838 0136,20,37
251,Odele,Iron,871 400 7555,16,358
252,Nelly,Hatz,261 928 8100,10,443
253,Jannelle,Meriot,909 962 6442,8,434
254,Jonah,Dulanty,220 161 0483,22,127
255,Dell,Meneghi,720 184 4833,5,352
256,Guillema,Haldon,115 984 2995,23,239
257,Baxie,Barmadier,393 310 3687,18,456
258,Ruperto,Hardware,948 715 0778,23,293
259,Florian,Trowsdall,536 108 5670,26,460
260,Albie,Neylon,297 799 7353,7,322
261,Ursa,Larciere,264 983 8802,20,150
262,Ingamar,Griswaite,914 376 4862,12,41
263,Floria,Waghorne,174 230 5880,15,310
264,Dotti,Calbaithe,100 995 2091,27,25
265,Giraud,MacAulay,946 487 0224,30,491
266,Orazio,Degoy,864 228 3628,19,459
267,Elvira,Butterick,966 908 8964,7,89
268,May,Coopland,990 436 2553,21,477
269,Antin,Killwick,447 457 4924,22,486
270,Bird,Martini,875 261 5658,10,283
271,Guinevere,Bewly,367 637 2129,6,74
272,Elysee,Elwill,664 349 5886,5,387
273,Early,Torrisi,771 313 6127,25,231
274,Darcy,Messier,376 702 0516,24,422
275,Cassey,Krollmann,323 653 8444,29,253
276,Brina,Povele,813 185 3787,21,442
277,Pepe,Erley,872 973 9163,25,462
278,Charity,Momford,600 780 9002,29,40
279,Nariko,McCamish,936 255 3000,5,336
280,Sigvard,O'Driscole,955 762 2449,23,209
281,Norby,Heathorn,239 202 9626,27,136
282,Prentiss,Dorrell,528 886 8370,6,212
283,Rebeca,Josefovic,407 127 7455,11,421
284,Daisie,Dowman,705 984 6633,17,263
285,Berti,Cliss,664 586 1245,28,289
286,Fabe,Leason,721 546 1806,30,456
287,Terencio,Matthews,266 952 2689,22,349
288,Kiel,Haley,314 690 5960,26,149
289,Mikol,Meiklem,745 263 0704,22,141
290,Shep,Mendez,230 356 3207,7,123
291,Constantino,Fritter,485 824 5371,24,180
292,Case,Ginie,563 160 9144,19,306
293,Pebrook,Labrom,766 457 6767,24,217
294,Moss,Armit,534 461 8836,16,185
295,Gunar,Piggford,266 824 8202,26,42
296,Claudina,O'Carrol,932 338 0714,19,146
297,Jolie,Caplin,162 686 1633,24,423
298,Penni,Althorp,406 736 5993,24,168
299,Avram,Jenson,306 526 4244,18,134
300,Terza,Surplice,454 174 5108,30,51
